merchant_keyword,category
bookmyshow,Entertainment
VIDYASAGAR, personal loan
MADHAVI DODDA,Groceries 
SUDHAKAR DODDA,Groceries
DURGA RAO NALLAM,Food & Dining
HungerBox, Food & Dining
zomato,Food & Dining
swiggy,Food & Dining
dominos,Food & Dining
mcdonalds,Food & Dining
Mithaiwala,Food & Dining
creamstone,Food & Dining
ADICTO, Food & Dining
AHA,Entertainment
WESTSIDE,Shopping
uber,Transport
rapido,Transport
namma metro,Transport
bigbasket,Groceries
blinkit,Groceries
zepto,Groceries
instamart,Groceries
jio,Utilities
airtel,Utilities
bescom,Utilities
bwssb,Utilities
netflix,Entertainment
spotify,Entertainment
prime,Entertainment
amazon,Shopping
flipkart,Shopping
myntra,Shopping
ajio,Shopping
FUELS, Fuel,
SAROJA KOLA, personal loan
TRANSPORT, TRANSPORT
MANIKANDAN, Groceries
CAFE, Food & Dining
KFC, Food & Dining
Vendolite, Groceries
Gongura, Food & Dining
EatClub, Food & Dining
Foodaholic, Food & Dining
